Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/06/29 20:48:44,-,36,-,-,-,-,"Points, Balance Earned",Appleサービス,PayPay Point,-,-,04742091636793851904
2025/06/29 20:48:44,"7,200",-,-,-,-,-,Payment,Appleサービス,PayPay Balance,-,-,04742091636793851904
2025/06/29 19:50:56,"1,969",-,-,-,-,-,Payment,Dominos Pizza,"PayPay Point (69yen), PayPay Balance (1,900yen)",-,-,04742061838310670341
2025/06/29 19:50:55,-,9,-,-,-,-,"Points, Balance Earned",Dominos Pizza,PayPay Point,-,-,04742061838310670341
2025/06/26 18:03:09,"4,419",-,-,-,-,-,Money Sent,Shizuka,PayPay Balance,-,-,02028631496847794190
2025/06/23 19:06:56,-,2,-,-,-,-,"Points, Balance Earned",ME Group Japan,PayPay Point,-,-,04737586147377569794
2025/06/23 19:06:56,500,-,-,-,-,-,Payment,ME Group Japan,PayPay Balance,-,-,04737586147377569794
2025/06/23 13:33:32,-,18,-,-,-,-,"Points, Balance Earned",くら寿司,PayPay Point,-,-,04737414305735770119
2025/06/23 13:33:32,"3,750",-,-,-,-,-,Payment,くら寿司 - 溝の口駅北,PayPay Balance,-,-,04737414305735770119
2025/06/22 19:23:32,-,6,-,-,-,-,"Points, Balance Earned",Farmer's Chicken,PayPay Point,-,-,04736852532603641857
2025/06/22 19:23:32,"1,300",-,-,-,-,-,Payment,Farmer's Chicken - 田町店,PayPay Balance,-,-,04736852532603641857
2025/06/22 10:27:53,"3,855",-,-,-,-,-,Bill Payment,東京ガス株式会社,PayPay Balance,-,-,04736576460695568384
2025/06/22 10:27:26,"4,793",-,-,-,-,-,Bill Payment,東京都水道局,PayPay Balance,-,-,04736576220177530883
2025/06/22 10:27:06,"2,936",-,-,-,-,-,Bill Payment,東京電力エナジーパートナー株式会社,PayPay Balance,-,-,04736576048378503175
2025/06/21 23:15:47,-,6,-,-,-,-,"Points, Balance Earned",BARANKEBAB,PayPay Point,-,-,04736230062993211392
2025/06/21 23:15:47,"1,200",-,-,-,-,-,Payment,BARANKEBAB - BARANKEBAB,PayPay Balance,-,-,04736230062993211392
2025/06/21 21:23:35,-,12,-,-,-,-,"Points, Balance Earned",文化浴泉,PayPay Point,-,-,04736172235553439746
2025/06/21 21:23:35,"2,400",-,-,-,-,-,Payment,文化浴泉 - 文化浴泉,PayPay Balance,-,-,04736172235553439746
2025/06/21 14:22:50,149,-,-,-,-,-,Payment,セブン-イレブン - 世田谷上野毛,PayPay Balance,-,-,04735955374064959493
2025/06/21 09:16:51,"1,080",-,-,-,-,-,Payment,Appleサービス,PayPay Balance,-,-,04735797680046014464
2025/06/21 09:16:51,-,5,-,-,-,-,"Points, Balance Earned",Appleサービス,PayPay Point,-,-,04735797680046014464
2025/06/20 19:05:17,-,1,-,-,-,-,"Points, Balance Earned",セブン-イレブン,PayPay Point,-,-,04735358777337888769
2025/06/20 19:05:17,276,-,-,-,-,-,Payment,セブン-イレブン - 世田谷上野毛,PayPay Balance,-,-,04735358777337888769
2025/06/20 15:21:02,149,-,-,-,-,-,Payment,セブン-イレブン - 世田谷上野毛,"PayPay Point (27yen), PayPay Balance (122yen)",-,-,04735243208357470210
2025/06/17 14:30:07,-,"5,700",-,-,-,-,Money Received,070******97,PayPay Balance,-,-,02021842175752650752
2025/06/16 09:14:32,450,-,-,-,-,-,Payment,Appleサービス,"PayPay Point (25yen), PayPay Balance (425yen)",-,-,04732085625708331012
2025/06/16 09:14:32,-,2,-,-,-,-,"Points, Balance Earned",Appleサービス,PayPay Point,-,-,04732085625708331012
2025/06/15 11:20:42,-,"5,700",-,-,-,-,Money Received,ヨシヒサ,PayPay Balance,-,-,02020260201858875408
2025/06/08 19:37:11,-,14,-,-,-,-,"Points, Balance Earned",Dominos Pizza,PayPay Point,-,-,04726469174281510915
2025/06/08 19:37:11,"2,849",-,-,-,-,-,Payment,Dominos Pizza,PayPay Balance,-,-,04726469174281510915
2025/06/08 16:49:29,108,-,-,-,-,-,Payment,セブン-イレブン - 世田谷自由が丘駅南,PayPay Balance,-,-,04726382742359654404
2025/06/07 19:30:30,138,-,-,-,-,-,Payment,ローソン - 二本松一丁目,PayPay Balance,-,-,04725723559369760773
2025/06/07 11:26:01,-,1,-,-,-,-,"Points, Balance Earned",セブン-イレブン,PayPay Point,-,-,04725473858561040398
2025/06/07 11:26:01,298,-,-,-,-,-,Payment,セブン-イレブン - 八王子下柚木２丁目,"PayPay Point (22yen), PayPay Balance (276yen)",-,-,04725473858561040398
2025/06/01 10:13:08,116,-,-,-,-,-,"Points, Balance Removed",-,PayPay Point,-,-,04716678298107969541
2025/06/01 10:13:08,-,"23,210",-,-,-,-,Refund,チケジャム,PayPay Balance,-,-,04716678298107969541
2025/05/29 13:03:37,"1,492",-,-,-,-,-,Payment,CoCo壱番屋 - 東急上野毛駅前店,PayPay Balance,-,-,04718844628076052486
2025/05/29 13:03:36,-,7,-,-,-,-,"Points, Balance Earned",CoCo壱番屋,PayPay Point,-,-,04718844628076052486
2025/05/28 22:23:42,-,35,-,-,-,-,"Points, Balance Earned",大衆食堂スタンドそのだ,PayPay Point,-,-,04718391113887588355
2025/05/28 22:23:41,-,"10,000",-,-,-,-,Top-Up,PayPay,ソニー銀行 *****73,-,-,02007242843175346177
2025/05/28 22:23:41,"7,150",-,-,-,-,-,Payment,大衆食堂スタンドそのだ - 五反田店,PayPay Balance,-,-,04718391113887588355
2025/05/28 18:40:59,-,3,-,-,-,-,"Points, Balance Earned",セブン-イレブン,PayPay Point,-,-,04718276335180906510
2025/05/28 18:40:59,651,-,-,-,-,-,Payment,セブン-イレブン - 世田谷玉川,PayPay Balance,-,-,04718276335180906510
2025/05/26 22:00:31,-,17,-,-,-,-,"Points, Balance Earned",路じ,PayPay Point,-,-,04716894833180286980
2025/05/26 22:00:31,"3,465",-,-,-,-,-,Payment,路じ - 本店,PayPay Balance,-,-,04716894833180286980
2025/05/26 18:07:17,-,6,-,-,-,-,"Points, Balance Earned",文化浴泉,PayPay Point,-,-,04716774617044344836
2025/05/26 18:07:16,-,"10,000",-,-,-,-,Top-Up,PayPay,ソニー銀行 *****73,-,-,02005626337743896590
2025/05/26 18:07:16,"1,200",-,-,-,-,-,Payment,文化浴泉 - 文化浴泉,PayPay Balance,-,-,04716774617044344836
2025/05/26 15:00:36,-,117,-,-,-,-,"Points, Balance Earned",チケジャム,PayPay Point,-,-,04716678298107969541
2025/05/26 15:00:23,"23,581",-,-,-,-,-,Payment,チケジャム,"PayPay Point (42yen), PayPay Balance (23,539yen)",-,-,04716678298107969541
2025/05/26 15:00:23,-,"23,197",-,-,-,-,Top-Up,PayPay,ソニー銀行 *****73,-,-,02005530018807349257
2025/05/23 10:53:45,"4,408",-,-,-,-,-,Bill Payment,東京ガス株式会社,"PayPay Point (9yen), PayPay Balance (4,399yen)",-,-,04714324681800081409
2025/05/21 23:34:31,-,2,-,-,-,-,"Points, Balance Earned",ローソン,PayPay Point,-,-,04713232428665757697
2025/05/21 23:34:31,548,-,-,-,-,-,Payment,ローソン - ナチュラルローソン上野毛一丁目,PayPay Balance,-,-,04713232428665757697
2025/05/21 22:42:30,127,-,-,-,-,-,Payment,ファミリーマート - 赤坂六丁目,PayPay Balance,-,-,04713205628069904385
2025/05/21 20:37:39,"2,500",-,-,-,-,-,Money Sent,"Zabu ",PayPay Balance,-,-,02001992992978886665
